Command, Key binding, Short form, Spoken form
abort-recursive-edit, ctrl-]
auto-fill-mode,,auto-f
backward-paragraph, meta-{
backward-sentence, meta-a
backward-sexp, meta-ctrl-b
backward-up-list, meta-ctrl-up
backward-word, meta-b
balance-windows, ctrl-x +
beginning-of-buffer, meta-<
browse-kill-ring,,b-k-r
bury-buffer,,bur
clear-rectangle, ctrl-x r c
clone-indirect-buffer,,clo-i
comment-dwim, meta-;
comment-line,, comment-l
comment-region, ctrl-c ;
compile-defun,,co-def
copy-rectangle-as-kill, ctrl-x r meta-w
copy-rectangle-to-register, ctrl-x r r
copy-to-register, ctrl-x r s
custom-theme-visit-theme
customize-face
customize-group
customize-variable
delete-other-windows, ctrl-x 1
delete-rectangle, ctrl-x r d
delete-window, ctrl-x 0
describe-character,,desc-char
diff-buffer-with-file,,d-b-w-f
dired-jump, ctrl-x ctrl-j
dired-jump-other-window, ctrl-x 4 ctrl-j
display-line-numbers-mode,,dis-num
down-list, meta-ctrl-down
electric-quote-local-mode
electric-quote-mode
end-of-buffer, meta->
enlarge-window, ctrl-x ^
enlarge-window-horizontally,ctrl-x }
eval-expression, meta-:
eval-print-last-sexp,,ev-p
eval-region,,ev-r
exchange-point-and-mark, ctrl-x ctrl-x
fileloop-continue,,filel
fill-paragraph, meta-q
find-file, ctrl-x ctrl-f
font-lock-update,ctrl-x x f
forward-paragraph, meta-}
forward-sentence, meta-e
forward-sexp, meta-ctrl-f
forward-word, meta-f
fundamental-mode,,fun-m
global-display-line-numbers-mode,,g-d-l-n-m
global-hl-line-mode,,g-hl-l-m
global-visual-line-mode,,gl-v-l-m
goto-line,meta-g meta-g
hl-line-mode,,hl-l-m
indent-region, meta-ctrl-\
indent-rigidly,ctrl-x tab
insert-char, ctrl-x 8 enter
insert-register, ctrl-x r i
isearch-backward, ctrl-r
isearch-backward-regexp, meta-ctrl-r
isearch-forward, ctrl-s
isearch-forward-regexp, meta-ctrl-s
jump-to-register, ctrl-x r j
keyboard-quit, ctrl-g
kill-paragraph,, kill-par
kill-paragraph,,kill-par
kill-rectangle, ctrl-x r k
kill-region, ctrl-w
kill-ring-save, meta-w
kill-sentence, meta-k
kill-sexp, meta-ctrl-k
kill-word, meta-d
kmacro-end-and-call-macro, ctrl-x e
kmacro-end-macro, ctrl-x )
kmacro-start-macro, ctrl-x (
list-packages
make-frame-command, ctrl-x 5 2
mark-paragraph, meta-h
mark-sexp, meta-ctrl-@
mark-whole-buffer, ctrl-x h
narrow-to-region, ctrl-x n n
occur,meta-s o
open-rectangle, ctrl-x r o
other-window, ctrl-x o
overwrite-mode,,overwr
package-autoremove
pop-global-mark, ctrl-x ctrl-@
pop-mark, ctrl-u ctrl-space
project-find-file,ctrl-x p f
project-find-regexp,ctrl-x p g
project-query-replace-regexp,ctrl-x p r
project-search,ctrl-x p ctrl-s
project-switch-project
project-vc-dir,ctrl-x p v
projectile-compile-project,ctrl-x p c
projectile-dired,ctrl-x p d
projectile-kill-buffers,ctrl-x p k
projectile-run-async-shell-command-in-root,ctrl-x p &
projectile-run-eshell,ctrl-x p e
projectile-run-shell,ctrl-x p s
projectile-run-shell-command-in-root,ctrl-x p !
projectile-switch-to-buffer,ctrl-x p b
query-replace, meta-%
query-replace-regexp, meta-ctrl-%
read-only-mode,ctrl-x ctrl-q
recenter-top-bottom, ctrl-l
rectangle-number-lines, ctrl-x r N
rename-buffer,ctrl-x x r,ren-b
rename-uniquely,ctrl-x x u
reverse-region
revert-buffer,,rev-buf
revert-buffer-quick,ctrl-x x g
save-buffer,ctrl-x ctrl-s
save-buffers-kill-emacs,,s-b-k-e
save-some-buffers, ctrl-x s
scroll-other-window, meta-pagedown
scroll-other-window-down, meta-pageup
server-edit, ctrl-x #
set-mark-command, ctrl-@
shell-command, meta-!
shell-command-on-region, meta-|
shrink-window-horizontally,ctrl-x {
shrink-window-if-larger-than-buffer, ctrl-x -
smerge-combine-with-next
smerge-diff-base-lower
smerge-diff-base-upper
smerge-diff-upper-lower
smerge-ediff
smerge-keep-all
smerge-keep-base
smerge-keep-current, ctrl-c ^ enter
smerge-keep-lower, ctrl-c ^ l
smerge-keep-upper, ctrl-c ^ u
smerge-next,ctrl-c ^ n
smerge-prev,ctrl-c ^ p
smerge-refine, ctrl-c ^ R
smerge-resolve, ctrl-c ^ r
sort-lines
sort-words
split-window-below, ctrl-x 2
split-window-right, ctrl-x 3
tab-bar-mode
tab-close, ctrl-x t 0
tab-close-other, ctrl-x t 1
tab-new, ctrl-x t 2
tab-next, ctrl-x t o
tab-previous, ctrl-x t O
tab-undo, ctrl-x t u
text-mode,,text-m
toggle-debug-on-error
toggle-input-method, ctrl-\
toggle-truncate-lines, ctrl-x x t
toggle-word-wrap
transient-mark-mode,,tr-m-m
transpose-chars, ctrl-t
transpose-lines, ctrl-x ctrl-t
transpose-paragraphs,,tr-par
transpose-sentences,,tr-sen
transpose-sexps, meta-ctrl-t
transpose-words, meta-t
undo, ctrl-_
universal-argument, ctrl-u
vc-annotate,ctrl-x v g
view-lossage,ctrl-h l
visual-line-mode,,visu-l-m
whitespace-cleanup,,wh-cl
whitespace-mode,,white-m
widen, ctrl-x n w
yank, ctrl-y
yank-rectangle, ctrl-x r y
