Application name, Spoken forms, Exclude, Unique Id, Path, Executable Name
.karabiner-virtualhiddevice-manager,None,True,org.pqrs.karabiner-virtualhiddevice-manager,/Applications/.Karabiner-VirtualHIDDevice-Manager.app,Karabiner-VirtualHIDDevice-Manager
activity monitor,activity monitor;task manager,False,com.apple.activitymonitor,/System/Applications/Utilities/Activity Monitor.app,Activity Monitor
airport utility,None,True,com.apple.airport.airportutility,/System/Applications/Utilities/AirPort Utility.app,AirPort Utility
amazon kindle,None,False,com.amazon.lassen,/Applications/Amazon Kindle.app,Kindle
app store,app store;store,False,com.apple.appstore,/System/Applications/App Store.app,App Store
audacity,None,False,org.audacityteam.audacity,/Applications/Audacity.app,Wrapper
audio midi setup,None,True,com.apple.audio.audiomidisetup,/System/Applications/Utilities/Audio MIDI Setup.app,Audio MIDI Setup
automator,None,False,com.apple.automator,/System/Applications/Automator.app,Automator
beyond compare,None,False,com.scootersoftware.beyondcompare,/Applications/Beyond Compare.app,BCompare
bluetooth file exchange,None,True,com.apple.bluetoothfileexchange,/System/Applications/Utilities/Bluetooth File Exchange.app,Bluetooth File Exchange
books,None,False,com.apple.ibooksx,/System/Applications/Books.app,Books
boot camp assistant,None,True,com.apple.bootcampassistant,/System/Applications/Utilities/Boot Camp Assistant.app,Boot Camp Assistant
calculator,None,False,com.apple.calculator,/System/Applications/Calculator.app,Calculator
calendar,None,False,com.apple.ical,/System/Applications/Calendar.app,Calendar
chess,None,True,com.apple.chess,/System/Applications/Chess.app,Chess
chrome apps,None,True,com.google.chrome.app.fmgjjmmmlfnkbppncabfkddbjimcfncm,/Users/knausj/Applications/Chrome Apps.localized,app_mode_loader
chrome apps,None,True,com.google.chrome.app.profile-2-knipolnnllmklapflnccelgolnpehhpl,/Users/knausj/Applications/Chrome Apps.localized,app_mode_loader
chrome apps,None,True,com.google.chrome.app.nabnijjbhmmgnnohmlablhajenhllcda,/Users/knausj/Applications/Chrome Apps.localized,app_mode_loader
clock,None,False,com.apple.clock,/System/Applications/Clock.app,Clock
colorsync utility,None,False,com.apple.colorsyncutility,/System/Applications/Utilities/ColorSync Utility.app,ColorSync Utility
console,None,False,com.apple.console,/System/Applications/Utilities/Console.app,Console
contacts,None,False,com.apple.addressbook,/System/Applications/Contacts.app,Contacts
contexts,None,True,com.contextsformac.contexts,/Applications/Contexts.app,Contexts
copilot,None,True,com.copilot.production,/Applications/Copilot.app,Copilot
dictionary,None,False,com.apple.dictionary,/System/Applications/Dictionary.app,Dictionary
digital color meter,None,True,com.apple.digitalcolormeter,/System/Applications/Utilities/Digital Color Meter.app,Digital Color Meter
discord,None,False,com.apple.safari.webapp.75652608-4a3f-4b48-9317-3c2516aa5ce1,/Users/knausj/Applications/Discord.app,None
disk utility,None,False,com.apple.diskutility,/System/Applications/Utilities/Disk Utility.app,Disk Utility
everyday habit tracker,everyday habit tracker;habit,False,app.everyday,/Applications/Everyday Habit Tracker.app,Everyday Habit Tracker
facetime,None,False,com.apple.facetime,/System/Applications/FaceTime.app,FaceTime
findmy,find my,False,com.apple.findmy,/System/Applications/FindMy.app,FindMy
font book,None,True,com.apple.fontbook,/System/Applications/Font Book.app,Font Book
freeform,None,False,com.apple.freeform,/System/Applications/Freeform.app,Freeform
garageband,None,False,com.apple.garageband10,/Applications/GarageBand.app,GarageBand
github desktop,github,False,com.github.githubclient,/Applications/GitHub Desktop.app,GitHub Desktop
gmail,None,False,com.apple.safari.webapp.85038fe5-e720-4773-8851-ec5fa8ff4971,/Users/knausj/Applications/Gmail.app,None
google chrome,None,False,com.google.chrome,/Applications/Google Chrome.app,Google Chrome
grapher,None,False,com.apple.grapher,/System/Applications/Utilities/Grapher.app,Grapher
home,None,False,com.apple.home,/System/Applications/Home.app,Home
homerow,None,False,com.superultra.homerow,/Applications/Homerow.app,Homerow
image capture,capture,False,com.apple.image_capture,/System/Applications/Image Capture.app,Image Capture
imovie,None,True,com.apple.imovieapp,/Applications/iMovie.app,iMovie
iphone mirroring,iphone;iPhone mirroring,False,com.apple.screencontinuity,/System/Applications/iPhone Mirroring.app,iPhone Mirroring
iterm,None,True,com.googlecode.iterm2,/Applications/iTerm.app,iTerm2
karabiner-elements,None,True,org.pqrs.karabiner-elements.preferences,/Applications/Karabiner-Elements.app,Karabiner-Elements
karabiner-eventviewer,None,True,org.pqrs.karabiner-eventviewer,/Applications/Karabiner-EventViewer.app,Karabiner-EventViewer
keynote,None,False,com.apple.iwork.keynote,/Applications/Keynote.app,Keynote
launchpad,None,False,com.apple.launchpad.launcher,/System/Applications/Launchpad.app,Launchpad
maccy,None,True,org.p0deje.maccy,/Applications/Maccy.app,Maccy
mail,None,False,com.apple.mail,/System/Applications/Mail.app,Mail
maps,None,False,com.apple.maps,/System/Applications/Maps.app,Maps
messages,None,False,com.apple.mobilesms,/System/Applications/Messages.app,Messages
microsoft excel,None,False,com.microsoft.excel,/Applications/Microsoft Excel.app,Microsoft Excel
microsoft onenote,None,False,com.microsoft.onenote.mac,/Applications/Microsoft OneNote.app,Microsoft OneNote
microsoft outlook,None,False,com.microsoft.outlook,/Applications/Microsoft Outlook.app,Microsoft Outlook
microsoft powerpoint,None,False,com.microsoft.powerpoint,/Applications/Microsoft PowerPoint.app,Microsoft PowerPoint
microsoft teams classic,teams,False,com.microsoft.teams,/Applications/Microsoft Teams classic.app,Teams
microsoft word,word,False,com.microsoft.word,/Applications/Microsoft Word.app,Microsoft Word
migration assistant,None,True,com.apple.migrateassistant,/System/Applications/Utilities/Migration Assistant.app,Migration Assistant
