Aaron,Erin
able,Abel
acclamation,acclimation
acts,ax
Adam,atom
add,ad
addition,edition
adds,ads,adz
adduce,educe
adherence,adherents
ado,adieu
aerial,ariel
affected,effected
afterward,afterword
aid,aide
air,heir,err
ale,ail
align,a line,aline
all,awl
allowed,aloud
alluded,eluded
alter,altar
analyst,annalist
appetite,apatite
apprize,apprise
arc,ark
ascent,assent
assistance,assistants
attendance,attendants
augur,auger
aunt,ant
away,aweigh
axis,axes
axle,axel
Babel,babble
bad,bade,bed
bah,baa
bail,bale,baal
bait,bate
baited,bated
bald,balled,bawled
ball,bawl
band,banned
baron,barren
barred,bard
barrel,beryl
base,bass
based,baste
baseline,bassline
basil,basal
basis,bases
basque,bask
be,bee
beach,beech
bear,bare
beat,beet
been,bin
beer,bier
beetle,beatle
bell,belle
better,bettor
bib,bibb
bird,burred
birth,berth
bite,byte,bight
bizarre,bazaar
block,bloc
blue,blew
board,bored
bold,bowled
bomb,balm,bombe
booty,bootie
border,boarder
bore,boar
born,borne
borough,burrow,burro
bought,bot
boulder,bolder
bow,beau
bow,bough
bowed,bode
boy,buoy
braid,brayed
brays,braise
breach,breech
bread,bred
break,brake
brewed,brood
brews,bruise
bridal,bridle
broach,brooch
browse,brows
brute,brut
build,billed
bullion,bouillon,boolean
burger,burgher
bury,berry
bust,bussed
but,butt
by,buy,bye
cached,cashed
caches,cashes
caching,cashing
caddy,caddie
Cain,cane
calendar,calender
callous,callus
cannon,canon
cantor,canter
canvas,canvass
capital,capitol
carol,carrel
carrot,carat,caret,karat
cash,cache
cast,caste
caster,castor
cause,caws
cedar,seeder
ceiling,sealing
chance,chants
chased,chaste
chauffeur,shofar
cheap,cheep
check,Czech
chic,sheik
Chile,chili,chilly
choir,quire
choose,chews
cited,sided,sighted
clack,claque
clammer,clamor,clamber
clause,claws
click,clique
climb,clime
close,clothes,cloze
clue,clew
coal,cole
coarser,courser
coat,cote
coax,cokes
collared,collard
complacent,complaisant
complement,compliment
conceded,conceited
consonants,consonance
consul,console,consol
continents,continence
cops,copse
coral,choral
cord,chord,cored
core,corps
coughers,coffers
coulee,coolie
council,counsel
coup,coo
coupe,coop
course,coarse
cousin,cozen
coward,cowered
coy,koi
craft,kraft
crawl,kraal
creek,creak
crepe,crape
cruel,crewel
cruise,crews
current,currant
cursor,curser
Cyprus,cypress
damn,dam
Dane,deign
days,daze
dear,deer
dense,dents
descent,dissent
die,dye
diffused,defused
discrete,discreet
disperse,disburse
do,dough,doe
do,due,dew
doc,dock
does,doze
done,dun
draft,draught
dual,duel
ducked,duct
ducks,ducts
dying,dyeing
earn,urn
effect,affect
effects,affects
eight,ate
eke,eek
elude,allude
elusive,illusive,allusive
emend,amend
end,and
ensure,insure
errant,arrant
eve,eave
exceed,accede
except,accept
excepting,accepting
exercise,exorcise
eyes,ayes
facts,fax
faint,feint
fair,fare
fairy,ferry
fawn,faun
feet,feat
fens,fends
fete,fate
few,phew
find,fined
finish,Finnish
fish,phish
fished,phished
fisher,fissure
fishing,phishing
flare,flair
flee,flea
flew,flu,flue
flocks,phlox
flow,floe
flower,flour
flyer,flier
foe,faux
fold,foaled
for,four,fore
foregone,forgone
fort,forte
forward,foreword
foul,fowl
